Ingres,http://www.actian.com/products/ingres,,
Integrated Data Store,http://en.wikipedia.org/wiki/Integrated_Data_Store,,
Interbase,http://www.embarcadero.com/products/interbase,,
IonDB,https://github.com/iondbproject/iondb,,
Jackrabbit,http://jackrabbit.apache.org/,,
Jade,http://www.jade.co.nz/jade/,,
JasDB,http://www.oberasoftware.com/jasdb/,,
Jena,http://jena.apache.org/,,
JustOneDB,http://www.justonedb.com/,,
KahaDB,http://activemq.apache.org/kahadb.html,,
Kdb+,http://kx.com/products.php,,
Kerf,https://github.com/kevinlawler/kerf,,
Kognitio,http://www.kognitio.com/,,
Kylin,http://www.kylin.io/,,
Kyoto Cabinet,http://fallabs.com/kyotocabinet/,,
Kyoto Tycoon,http://fallabs.com/kyototycoon/,,
LMDB,http://symas.com/mdb/,,
LeanXcale,http://www.leanxcale.com/,,
Ledis,https://github.com/siddontang/ledisdb,,
LedisDB,http://ledisdb.com/,,
LevelDB,http://code.google.com/p/leveldb/,,
LightCloud,http://opensource.plurk.com/LightCloud/,,
LittleD,https://github.com/graemedouglas/LittleD,,
LlamaDB,https://github.com/nukep/llamadb/,,
LogicBlox,http://www.logicblox.com/technology.html,,http://arxiv.org/abs/1403.5645
LowDB,https://github.com/typicode/lowdb,,
LucidDB,http://luciddb.sourceforge.net/,,
MDBM,https://github.com/yahoo/mdbm,http://yahooeng.tumblr.com/post/104861108931/mdbm-high-speed-database,
MLDB,https://mldb.ai/,,
MUFFIN,,,
Manhattan,https://blog.twitter.com/2014/manhattan-our-real-time-multi-tenant-distributed-database-for-twitter-scale,,
MapDB,www.mapdb.org,,
MariaDB,http://mariadb.org/,,
MarkLogic,http://www.marklogic.com/,,
MaxDB,http://maxdb.sap.com/,,
MemSQL,http://www.memsql.com/,,
Memcached,http://www.memcached.org/,,
Microsoft Access,http://office.microsoft.com/en-us/access,,
Microsoft SQL Server,http://www.microsoft.com/sqlserver/,,
Mimer SQL,http://mimer.com/,,
Mnesia,http://www.erlang.org/doc/man/mnesia.html,,
ModeShape,http://www.jboss.org/modeshape,,
Model 204,http://www.rocketsoftware.com/m204,,
MonetDB,,,
MongoDB,http://www.mongodb.org/,,
Mulgara,http://www.mulgara.org/,,
MySQL,http://www.mysql.com/,,
NCache,http://www.alachisoft.com/ncache/,,
Nanolat,http://nanolat.com/index/0-2,,
Neo4j,http://neo4j.org/,,
NeoView,,,
Netezza,http://www.netezza.com/,,
NexusDB,http://www.nexusdb.com/,,
Noms,https://github.com/attic-labs/noms,,
NonStop SQL,http://h17007.www1.hp.com/us/en/enterprise/servers/integrity/nonstop/nonstop-sql.aspx,,
Northgate Reality,http://www.northgate-reality.com/,,
NuDB,https://github.com/vinniefalco/NuDB,,
NuoDB,http://www.nuodb.com/,,
OSIsoft PI,https://www.osisoft.com/software-support/what-is-pi/What_Is_PI.aspx,,
OWLIM,http://www.ontotext.com/owlim,,
ObjectDB,http://www.objectdb.com/,,
ObjectStore,http://www.objectstore.com/,,
Objectivity/DB,http://www.objectivity.com/products/objectivitydb/,,
OlegDB,https://olegdb.org/,,
OpenBase,http://www.openbase.com/,,
OpenEdge,http://www.progress.com/en/openedge/developer-productivity/database/index.html,,
OpenQM,http://www.openqm.com/,,
OpenTSDB,http://opentsdb.net/,,
Oracle NoSQL,http://www.oracle.com/technetwork/products/nosqldb/,,
Oracle,http://www.oracle.com/us/products/database/,,
OrientDB,http://www.orientdb.org/,,
OrigoDB,http://origodb.com/,,
P*TIME,http://dl.acm.org/citation.cfm?id=1316778,,
PNUTS,http://dl.acm.org/citation.cfm?id=1454167,,
PRISMA/DB,,,
PalDB,https://github.com/linkedin/PalDB,,
ParAccel,http://www.paraccel.com/,,
Paradise,,,
Percona Server,http://www.percona.com/software/percona-server,,
Perst,http://www.mcobject.com/perst,,
Pervasive PSQL,http://www.pervasivedb.com/,,
PipelineDB,http://www.pipelinedb.com,,
PostgreSQL,http://www.postgresql.org/,,
Presto,http://prestodb.io/,,
Project Voldemort,http://project-voldemort.com/,,
PumpkinDB,http://pumpkindb.org/,,
Qserv,http://ls.st/kth,https://github.com/lsst/qserv,
QuestDB,https://www.questdb.org/,,
QuineDB,https://github.com/gfredericks/quinedb,,
R:BASE,http://www.rbase.com/,,
RDBMS,http://dl.acm.org/citation.cfm?doid=800296.811518,,
ROMA,https://code.google.com/p/roma-prj/,,
RainStor,http://rainstor.com/,,
RaptorDB,http://raptordb.codeplex.com/,,
Rasdaman,http://www.rasdaman.org/,,
RavenDB,http://ravendb.net/,,
Red Brick,http://www-03.ibm.com/software/products/us/en/redbrick,,
RedStore,http://www.aelius.com/njh/redstore/,,
Redis,http://redis.io/,,
Redland,http://librdf.org/,,
Redshift,http://aws.amazon.com/redshift/,,
RelationalCloud,http://relationalcloud.com,,
